dataset,model_name,accuracy,precision,recall,f1,auc,cv_auc_mean,cv_auc_std
clean,logreg,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9664502164502166,0.9024931590148981,0.01443995119614911
clean,svm,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9642857142857143,0.8883731405470534,0.02402413120400855
clean,rf,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9458874458874459,0.890299032690337,0.03453842170023812
clean,dtree,0.7377049180327869,0.6875,0.7857142857142857,0.7333333333333333,0.7413419913419914,0.6855421551073724,0.051232968699018284
