mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.028242158889770507,0.0034403495840092915,0.014023494720458985,0.0009068608421112415,0.001,,l2,lbfgs,"{'clf__C': np.float64(0.001), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.939799331103679,0.9208754208754208,0.8863636363636364,0.9073426573426573,0.8863636363636364,0.908148936409806,0.020559959013912835,59
0.023406553268432616,0.002979315454233887,0.011534404754638673,0.0017079847429206567,0.001,,l2,newton-cg,"{'clf__C': np.float64(0.001), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.939799331103679,0.9208754208754208,0.8863636363636364,0.9073426573426573,0.8863636363636364,0.908148936409806,0.020559959013912835,59
0.019384431838989257,0.0026721616515842936,0.013827800750732422,0.004249645702088652,0.001,,l2,saga,"{'clf__C': np.float64(0.001), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.939799331103679,0.9208754208754208,0.8863636363636364,0.9073426573426573,0.8863636363636364,0.908148936409806,0.020559959013912835,59
0.022964859008789064,0.0029018540474200806,0.010763216018676757,0.001321840985487427,0.001,balanced,l2,lbfgs,"{'clf__C': np.float64(0.001), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.939799331103679,0.9208754208754208,0.8863636363636364,0.9073426573426573,0.8863636363636364,0.908148936409806,0.020559959013912835,59
0.020139026641845702,0.0024866237078222963,0.010070705413818359,0.0018002592860978904,0.001,balanced,l2,newton-cg,"{'clf__C': np.float64(0.001), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.939799331103679,0.9208754208754208,0.8863636363636364,0.9073426573426573,0.8863636363636364,0.908148936409806,0.020559959013912835,59
0.017036819458007814,0.0009097013349134001,0.009833049774169923,0.0012739957792079406,0.001,balanced,l2,saga,"{'clf__C': np.float64(0.001), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.939799331103679,0.9208754208754208,0.8863636363636364,0.9073426573426573,0.8863636363636364,0.908148936409806,0.020559959013912835,59
0.01889772415161133,0.004094988790771572,0.009707498550415038,0.0006864677040045963,0.002848035868435802,,l2,lbfgs,"{'clf__C': np.float64(0.002848035868435802), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.9381270903010034,0.9259259259259258,0.8898601398601398,0.9055944055944056,0.8916083916083917,0.9102231906579734,0.019014698224267747,42
0.019095945358276366,0.002995678965002415,0.009987592697143555,0.0017719845010465399,0.002848035868435802,,l2,newton-cg,"{'clf__C': np.float64(0.002848035868435802), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.9381270903010034,0.9259259259259258,0.8898601398601398,0.9055944055944056,0.8916083916083917,0.9102231906579734,0.019014698224267747,42
0.014975309371948242,0.0014163518760237689,0.009301185607910156,0.0012210281878036243,0.002848035868435802,,l2,saga,"{'clf__C': np.float64(0.002848035868435802), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9381270903010034,0.9259259259259258,0.8898601398601398,0.9055944055944056,0.8916083916083917,0.9102231906579734,0.019014698224267747,42
0.023665428161621094,0.0068235299688811845,0.010711956024169921,0.002618258297146755,0.002848035868435802,balanced,l2,lbfgs,"{'clf__C': np.float64(0.002848035868435802), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.9364548494983278,0.9259259259259258,0.8898601398601398,0.9055944055944056,0.8916083916083917,0.9098887424974382,0.018529472605381313,46
0.022172069549560545,0.005049962992222649,0.009388256072998046,0.0016280339685265138,0.002848035868435802,balanced,l2,newton-cg,"{'clf__C': np.float64(0.002848035868435802), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.9364548494983278,0.9259259259259258,0.8898601398601398,0.9055944055944056,0.8916083916083917,0.9098887424974382,0.018529472605381313,46
0.016174459457397462,0.00030961369724618037,0.01136159896850586,0.005611513593770797,0.002848035868435802,balanced,l2,saga,"{'clf__C': np.float64(0.002848035868435802), 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9364548494983278,0.9259259259259258,0.8898601398601398,0.9055944055944056,0.8916083916083917,0.9098887424974382,0.018529472605381313,46
0.019714927673339842,0.008339858767475752,0.010243034362792969,0.004347124645360349,0.008111308307896872,,l2,lbfgs,"{'clf__C': np.float64(0.008111308307896872), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.9381270903010033,0.9242424242424242,0.8916083916083917,0.9073426573426573,0.8916083916083916,0.9105857910205737,0.018307528997448863,33
0.01668062210083008,0.0008393842198573992,0.009967565536499023,0.002194859270261083,0.008111308307896872,,l2,newton-cg,"{'clf__C': np.float64(0.008111308307896872), 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'newton-cg'}",0.9381270903010033,0.9242424242424242,0.8916083916083917,0.9073426573426573,0.8916083916083916,0.9105857910205737,0.018307528997448863,33
