model,accuracy,precision,recall,f1,auc
logreg_tuned,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9675324675324676
svm_tuned,0.5409836065573771,0.0,0.0,0.0,0.9675324675324676
logreg_base,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9621212121212122
rf_tuned,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9502164502164503
svm_base,0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.948051948051948
rf_base,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9453463203463203
