mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.030364799499511718,0.0003516469367585236,0.010399198532104493,0.0007685149522850868,0.1767016940294795,,0.000541675458324746,"{'clf__C': np.float64(0.1767016940294795), 'clf__class_weight': None, 'clf__gamma': np.float64(0.000541675458324746)}",0.939799331103679,0.9208754208754208,0.8828671328671329,0.9055944055944056,0.8898601398601399,0.9077992860601556,0.020703984696616502,10
0.02194375991821289,0.0010678073682046582,0.008677387237548828,0.00044568147139457096,47.6591180868084,,0.00042079886696066364,"{'clf__C': np.float64(47.6591180868084), 'clf__class_weight': None, 'clf__gamma': np.float64(0.00042079886696066364)}",0.9347826086956522,0.9124579124579125,0.8863636363636364,0.8846153846153847,0.9108391608391607,0.9058117405943493,0.01863476331084843,28
0.02938876152038574,0.0017833664238713666,0.011681175231933594,0.004367451017958236,0.008629132190071854,,0.006870614282613299,"{'clf__C': np.float64(0.008629132190071854), 'clf__class_weight': None, 'clf__gamma': np.float64(0.006870614282613299)}",0.939799331103679,0.920875420875421,0.8828671328671329,0.9055944055944056,0.8898601398601399,0.9077992860601556,0.020703984696616516,10
0.034667158126831056,0.007581063413269846,0.011410140991210937,0.00326112640215873,0.10051981180656774,balanced,0.06796578090758151,"{'clf__C': np.float64(0.10051981180656774), 'clf__class_weight': 'balanced', 'clf__gamma': np.float64(0.06796578090758151)}",0.9414715719063544,0.9141414141414141,0.8758741258741258,0.8898601398601398,0.8916083916083917,0.9025911286780852,0.022985189964681605,36
0.045073938369750974,0.01846038840876039,0.009414100646972656,0.0006756394118705602,0.0013289448722869186,balanced,0.07726718477963429,"{'clf__C': np.float64(0.0013289448722869186), 'clf__class_weight': 'balanced', 'clf__gamma': np.float64(0.07726718477963429)}",0.939799331103679,0.9040404040404041,0.8776223776223776,0.8968531468531469,0.8863636363636364,0.9009357791966488,0.021412819939522428,38
0.02546534538269043,0.002630599262252399,0.008463191986083984,0.0011730933495609826,427.87435167598187,balanced,0.000533703276260396,"{'clf__C': np.float64(427.87435167598187), 'clf__class_weight': 'balanced', 'clf__gamma': np.float64(0.000533703276260396)}",0.9046822742474916,0.9057239057239057,0.9143356643356644,0.8811188811188811,0.9003496503496503,0.9012420751551187,0.011037238902233308,37
0.031433725357055665,0.005793898694094958,0.023918962478637694,0.02628474704278465,0.012601639723276799,balanced,0.02796485951606245,"{'clf__C': np.float64(0.012601639723276799), 'clf__class_weight': 'balanced', 'clf__gamma': np.float64(0.02796485951606245)}",0.939799331103679,0.9141414141414141,0.8863636363636364,0.9038461538461537,0.8898601398601399,0.9068021350630046,0.019267491894015783,21
0.04332194328308105,0.012540117477793145,0.011301326751708984,0.0015166757429624523,0.001102548826429165,,0.0014618962793704966,"{'clf__C': np.float64(0.001102548826429165), 'clf__class_weight': None, 'clf__gamma': np.float64(0.0014618962793704966)}",0.939799331103679,0.9225589225589226,0.8846153846153846,0.9055944055944056,0.8898601398601399,0.9084856367465063,0.02051176304706462,3
0.03794741630554199,0.006685204973372425,0.009797239303588867,0.0006221651225800694,4.689400963537685,balanced,0.00015369603110608848,"{'clf__C': np.float64(4.689400963537685), 'clf__class_weight': 'balanced', 'clf__gamma': np.float64(0.00015369603110608848)}",0.9414715719063546,0.9208754208754208,0.8811188811188811,0.9055944055944056,0.8916083916083917,0.9081337342206908,0.02136866597053491,7
0.053070592880249026,0.004768456781103017,0.009124374389648438,0.0011671369125226285,695.8780103230359,,0.006672367170464205,"{'clf__C': np.float64(695.8780103230359), 'clf__class_weight': None, 'clf__gamma': np.float64(0.006672367170464205)}",0.7826086956521738,0.8602693602693603,0.8216783216783217,0.8513986013986014,0.7884615384615384,0.8208833034919991,0.031620225747763415,56
0.032042837142944335,0.009065066740713834,0.00969390869140625,0.0016445096588101336,51.41096648805744,,0.003387255565852149,"{'clf__C': np.float64(51.41096648805744), 'clf__class_weight': None, 'clf__gamma': np.float64(0.003387255565852149)}",0.9080267558528428,0.8905723905723906,0.8933566433566433,0.8916083916083916,0.8951048951048951,0.8957338152990326,0.006337543693733105,42
0.03262042999267578,0.013751974214128656,0.008656978607177734,0.0013849784552522066,793.2047656808546,,0.00015339162591163628,"{'clf__C': np.float64(793.2047656808546), 'clf__class_weight': None, 'clf__gamma': np.float64(0.00015339162591163628)}",0.9147157190635451,0.9107744107744108,0.9055944055944056,0.8933566433566433,0.9073426573426574,0.9063567672263325,0.0072103265604448324,25
0.03320307731628418,0.008353880811603724,0.007943391799926758,0.0001596986659050983,4.418441521199722,,0.006338653441536257,"{'clf__C': np.float64(4.418441521199722), 'clf__class_weight': None, 'clf__gamma': np.float64(0.006338653441536257)}",0.9364548494983277,0.9057239057239057,0.8951048951048951,0.8881118881118881,0.9073426573426573,0.9065476391563347,0.016532181520441072,23
0.04185962677001953,0.010945651035337293,0.011077594757080079,0.002447583550343723,0.0012011293160580545,,0.7286653737491037,"{'clf__C': np.float64(0.0012011293160580545), 'clf__class_weight': None, 'clf__gamma': np.float64(0.7286653737491037)}",0.9013377926421405,0.7845117845117845,0.8671328671328671,0.7867132867132867,0.763986013986014,0.8207363489972186,0.053552998003803164,57
