mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9686476230621338,0.06122834827466577,0.04481034278869629,0.007026095264044361,True,21,sqrt,8,8,321,"{'clf__bootstrap': True, 'clf__max_depth': 21, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 8, 'clf__n_estimators': 321}",0.9464882943143813,0.9074074074074074,0.8496503496503496,0.8951048951048951,0.8846153846153846,0.8966532662184836,0.031482578644503746,13
3.3452847480773924,0.05548824186724895,0.12150115966796875,0.012165866579093692,True,24,,8,5,863,"{'clf__bootstrap': True, 'clf__max_depth': 24, 'clf__max_features': None, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 5, 'clf__n_estimators': 863}",0.9331103678929765,0.8804713804713804,0.8444055944055944,0.8846153846153847,0.8881118881118881,0.8861429230994448,0.02823587104997621,36
1.9867949962615967,0.19098980218284914,0.08668813705444336,0.015327964883398654,True,23,sqrt,2,13,613,"{'clf__bootstrap': True, 'clf__max_depth': 23, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 13, 'clf__n_estimators': 613}",0.9464882943143813,0.8973063973063974,0.8548951048951049,0.8951048951048951,0.8793706293706294,0.8946330641982817,0.030027925506615663,24
1.1807915210723876,0.11707562806109337,0.07175145149230958,0.02792342540202162,False,3,sqrt,1,13,513,"{'clf__bootstrap': False, 'clf__max_depth': 3, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 13, 'clf__n_estimators': 513}",0.9448160535117056,0.893939393939394,0.8548951048951049,0.8793706293706294,0.9055944055944056,0.895723117462248,0.029816340640392198,19
1.592827606201172,0.15294219326412511,0.08003926277160645,0.013369294673349583,False,13,sqrt,1,11,675,"{'clf__bootstrap': False, 'clf__max_depth': 13, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 11, 'clf__n_estimators': 675}",0.9481605351170568,0.8619528619528619,0.8513986013986014,0.9003496503496504,0.8898601398601398,0.890344357735662,0.03395850315808948,33
2.191569519042969,0.2298367308466205,0.0904416561126709,0.009785644952319511,False,17,,3,13,766,"{'clf__bootstrap': False, 'clf__max_depth': 17, 'clf__max_features': None, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13, 'clf__n_estimators': 766}",0.8244147157190636,0.8122895622895623,0.7526223776223776,0.8190559440559441,0.8330419580419581,0.8082849115457812,0.028647694446747408,56
0.7503420352935791,0.08807177431046352,0.02875351905822754,0.0030707190845553033,False,26,,5,8,220,"{'clf__bootstrap': False, 'clf__max_depth': 26, 'clf__max_features': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 8, 'clf__n_estimators': 220}",0.8285953177257526,0.8063973063973064,0.7272727272727273,0.8103146853146854,0.840034965034965,0.8025230003490872,0.03956068105583938,59
1.2779076099395752,0.14427690077270114,0.06046671867370605,0.005853874554111016,True,8,log2,4,15,441,"{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 15, 'clf__n_estimators': 441}",0.9481605351170568,0.9040404040404041,0.8548951048951048,0.8968531468531469,0.8828671328671328,0.8973632647545691,0.030459446899582483,8
1.5004477977752686,0.09947580098685763,0.08408188819885254,0.023143453804752294,False,10,log2,5,3,539,"{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__n_estimators': 539}",0.9498327759197325,0.8872053872053872,0.8409090909090909,0.8951048951048951,0.9003496503496503,0.8946803598977512,0.034702549366967955,23
1.0144016742706299,0.06704399405503925,0.060544061660766604,0.025172062926464563,False,16,,8,16,234,"{'clf__bootstrap': False, 'clf__max_depth': 16, 'clf__max_features': None, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 16, 'clf__n_estimators': 234}",0.8478260869565217,0.8139730639730639,0.7473776223776223,0.8758741258741258,0.8942307692307693,0.8358563336824206,0.051883780236717456,50
0.7228134155273438,0.12424239566528726,0.03449549674987793,0.011403160951163088,False,18,log2,8,5,201,"{'clf__bootstrap': False, 'clf__max_depth': 18, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 5, 'clf__n_estimators': 201}",0.9481605351170568,0.8956228956228957,0.8321678321678321,0.8916083916083917,0.8986013986013986,0.893232210623515,0.036832484277736915,30
2.364612007141113,0.4557251311060338,0.11082596778869629,0.03277459926014667,False,7,log2,4,19,755,"{'clf__bootstrap': False, 'clf__max_depth': 7, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 19, 'clf__n_estimators': 755}",0.9448160535117056,0.8922558922558923,0.8426573426573426,0.8951048951048951,0.8916083916083917,0.8932885150276455,0.03232890718504205,29
1.4913549900054932,0.19551537443876443,0.06817870140075684,0.015078899435193756,False,11,log2,4,15,470,"{'clf__bootstrap': False, 'clf__max_depth': 11, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 15, 'clf__n_estimators': 470}",0.9464882943143813,0.8838383838383839,0.8479020979020979,0.8968531468531469,0.9020979020979021,0.8954359650011824,0.03177011976309382,20
